과정ID,회차,기관ID,과정명,훈련시작일,훈련종료일,모집정원,수강신청인원,실제수강인원,수료인원,총훈련비,취업률_3개월,취업인원_3개월,취업률_6개월,취업인원_6개월,미가입_취업률_6개월,미가입_취업인원_6개월,연도,만족도,주소,NCS여부,총훈련일수,총훈련시간,수료율,수강신청률,일 평균 훈련시간,취업당 훈련비,수도권여부,취업률
AIG20210000314440,3,1408179916000,어트랙션 기반 VR/AR 콘텐츠 개발 과정,2022-02-28,2022-07-15,22,29,22.0,21,10518900.0,26.3,5.0,52.6,10.0,5.3,1,2022,947,서울특별시 금천구 가산디지털1로 168 (가산동 우림라이온스밸리),1,88,700,95.45,131.82,7.95,956263.64,1,52.38
AIG20210000314440,4,1408179916000,어트랙션 기반 VR/AR 콘텐츠 개발 과정,2022-04-29,2022-09-15,22,23,22.0,19,10518900.0,36.8,7.0,57.9,11.0,0.0,0,2022,947,서울특별시 금천구 가산디지털1로 168 (가산동 우림라이온스밸리),1,88,700,86.36,104.55,7.95,956263.64,1,57.89
AIG20220000409247,1,2005053449301,AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,2022-08-29,2023-03-22,22,22,22.0,18,9591680.0,29.4,5.0,70.6,12.0,11.8,2,2022,947,서울특별시 마포구 월드컵북로 21 (서교동),0,140,1120,81.82,100.0,8.0,685120.0,1,77.78
AIG20200000313528,36,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,22,22,21.0,20,10890000.0,29.4,5.0,47.1,8.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,95.24,100.0,8.0,1361250.0,1,40.0
AIG20200000313528,38,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,22,20,19.0,18,10890000.0,0.0,0.0,18.8,3.0,6.3,1,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,94.74,90.91,8.0,2722500.0,1,22.22
AIG20200000313528,32,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,22,22,17.0,16,10890000.0,12.5,2.0,25.0,4.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,94.12,100.0,8.0,2722500.0,1,25.0
AIG20200000313528,34,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,22,20,20.0,18,10890000.0,5.6,1.0,27.8,5.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,90.0,90.91,8.0,2178000.0,1,27.78
AIG20200000313528,40,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,22,19,19.0,19,10890000.0,27.8,5.0,44.4,8.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,100.0,86.36,8.0,1361250.0,1,42.11
AIG20200000313528,35,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,22,21,20.0,18,10890000.0,11.1,2.0,27.8,5.0,5.6,1,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,90.0,95.45,8.0,1815000.0,1,33.33
AIG20200000313528,31,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,22,21,21.0,18,10890000.0,16.7,3.0,38.9,7.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,85.71,95.45,8.0,1555714.29,1,38.89
AIG20200000313528,33,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,22,20,20.0,18,10890000.0,11.8,2.0,41.2,7.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,90.0,90.91,8.0,1555714.29,1,38.89
AIG20200000313528,39,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,22,22,21.0,20,10890000.0,21.1,4.0,42.1,8.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,95.24,100.0,8.0,1361250.0,1,40.0
AIG20210000314448,2,1998013241100,5G 영상처리를 활용한 AI자율비행 통제시스템,2022-09-26,2023-04-04,22,24,21.0,13,20389320.0,45.5,5.0,72.7,8.0,0.0,0,2022,871,서울특별시 양천구 목동중앙로13나길 3 (목동 한국전파진흥협회),0,135,1080,61.9,109.09,8.0,2548665.0,1,61.54
AIG20220000409247,2,2005053449301,AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,2022-10-04,2023-04-27,22,26,22.0,18,9591680.0,16.7,3.0,55.6,10.0,5.6,1,2022,947,서울특별시 마포구 월드컵북로 21 (서교동),0,140,1120,81.82,118.18,8.0,871970.91,1,61.11
AIG20220000409247,3,2005053449301,AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,2022-12-26,2023-07-24,22,25,22.0,22,9591680.0,38.1,8.0,57.1,12.0,0.0,0,2022,947,서울특별시 마포구 월드컵북로 21 (서교동),0,140,1120,100.0,113.64,8.0,799306.67,1,54.55
AIG20200000286681,3,1997007167000,빅데이터 플랫폼 기반 AI 융합 서비스 개발자 양성과정,2022-12-27,2023-06-26,22,27,22.0,19,15866880.0,15.8,3.0,42.1,8.0,0.0,0,2022,868,서울특별시 송파구 중대로 135,0,120,960,86.36,122.73,8.0,1983360.0,1,42.11
AIG20220000409317,1,201705699,클라우드를 활용한 보안 전문가 양성과정,2022-12-30,2023-06-30,22,12,11.0,10,8564000.0,90.0,9.0,90.0,9.0,0.0,0,2022,804,서울특별시 마포구 서강로 136 (노고산동 아이비타워),0,125,1000,90.91,54.55,8.0,951555.56,1,90.0
AIG20210000328766,2,2004031623800,디지털 헬스케어 빅데이터 분석 및 활용 전문가,2022-07-04,2022-10-29,23,23,23.0,15,6598050.0,28.6,4.0,35.7,5.0,0.0,0,2022,917,전북특별자치도 익산시 신동 익산대로 460(원광대학교),0,94,693,65.22,100.0,7.37,1319610.0,0,33.33
AIG20200000313528,37,1298212249000,부스트캠프 AI Tech,2022-09-19,2023-02-14,23,24,22.0,21,10890000.0,25.0,5.0,30.0,6.0,5.0,1,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,95.45,104.35,8.0,1555714.29,1,33.33
AIG20200000288889,7,201902529,프로그래머스 K-Digital Training 인공지능 데브코스,2022-09-19,2023-02-17,23,25,22.0,19,3176250.0,7.1,1.0,28.6,4.0,0.0,0,2022,856,서울특별시 서초구 서초동 반포대로 45(명정빌딩),0,103,560,86.36,108.7,5.44,794062.5,1,21.05
AIG20200000288888,3,2068207306000,PBL 머신러닝 기반 빅데이터 분석가 양성과정,2022-01-03,2022-06-15,24,44,23.0,21,17864880.0,100.0,1.0,100.0,1.0,0.0,0,2022,689,서울특별시 성동구 왕십리로 222,0,110,880,91.3,183.33,8.0,17864880.0,1,4.76
AIG20210000328610,2,2000067400000,클라우드 기반의 자바 웹 애플리케이션 개발,2022-01-11,2022-07-27,24,22,18.0,16,8735280.0,50.0,7.0,57.1,8.0,0.0,0,2022,862,경기도 수원시 영통구 영통동 영통로217번길 6(망포역 센타프라자),0,128,1020,88.89,91.67,7.97,1091910.0,1,50.0
AIG20210000328927,1,1998254645200,[K-디지털] 기업주도형 스마트웹〮콘텐츠개발자양성,2022-01-12,2022-07-26,24,25,22.0,14,8735280.0,30.8,4.0,30.8,4.0,30.8,4,2022,843,부산광역시 부산진구 중앙대로 631 (범천동),0,128,1020,63.64,104.17,7.97,1091910.0,0,57.14
AIG20200000286689,6,1998006504500,리얼타임 엔진을 활용한 실감형 콘텐츠 개발자 양성 과정,2022-02-28,2022-08-05,24,30,23.0,16,11297440.0,33.3,5.0,60.0,9.0,0.0,0,2022,764,서울특별시 강남구 학동로 171 (논현동 삼익악기 빌딩),0,110,880,69.57,125.0,8.0,1255271.11,1,56.25
AIG20200000286666,6,1998006504500,데이터기반 인공지능 시스템 엔지니어 양성 과정,2022-02-28,2022-08-05,24,30,24.0,21,10160480.0,44.4,8.0,61.1,11.0,5.6,1,2022,775,서울특별시 강남구 학동로 171 (논현동 삼익악기 빌딩),0,110,880,87.5,125.0,8.0,846706.67,1,57.14
AIG20200000286562,3,2001717197100,클라우드 기반 인공지능 시스템 구축 실무과정,2022-03-02,2022-07-20,24,18,15.0,13,10545600.0,54.5,6.0,63.6,7.0,0.0,0,2022,966,서울특별시 영등포구 경인로 775,0,101,800,86.67,75.0,7.92,1506514.29,1,53.85
